"","H9.1","H9.2","H9.3","OB.1","OB.2","OB.3","WT.1","WT.2","WT.3"
"1451612_at",4.780924,5.333222,5.430845,7.131334,5.550032,6.023113,5.147755,5.161849,5.095214
"1451613_at",2.127484,2.377506,2.323706,2.323706,2.248111,2.300672,2.437979,2.451637,2.268942
"1451614_a_at",3.703458,3.601503,3.645338,3.773062,3.645338,3.645338,3.611597,3.661857,3.750951
"1451615_at",4.915326,4.997277,4.943915,4.984547,4.984547,4.984547,5.655065,4.921685,4.949416
"1451616_at",3.045278,3.136047,2.896384,3.098536,3.045278,2.889928,3.045278,3.116816,3.045278
"1451617_at",4.482233,4.482233,4.685339,4.543284,4.378949,4.366393,4.422837,4.482233,4.512674
"1451618_at",4.012515,4.128488,4.200774,4.275608,3.925082,4.094224,3.976565,4.100529,4.002747
"1451619_at",4.075413,4.442681,4.370409,4.343283,4.326901,4.384565,4.264595,3.885248,4.492215
"1451620_at",3.400372,3.356679,3.197127,3.521185,3.400372,3.400372,3.454724,3.400372,3.59819
"1451621_at",6.871378,6.730992,7.12442,6.933125,6.69997,6.523899,7.163409,6.658155,6.859719
"1451622_at",8.716122,8.758774,8.411938,8.500374,8.816325,8.749356,8.75236,9.157122,8.988498
"1451623_at",6.324318,6.190973,6.75814,6.324318,6.123318,6.187029,6.486368,6.318048,6.324318
"1451624_a_at",6.959959,7.086512,6.871493,7.101764,7.073029,6.909668,7.162761,7.317628,7.163447
"1451625_a_at",12.15971,12.2481,12.32749,12.45631,12.36196,12.38081,12.18399,12.29934,12.28653
"1451626_x_at",4.56179,4.373292,4.370409,4.645676,4.482233,4.430185,4.385524,4.348578,4.35459
"1451627_a_at",7.487567,6.972406,6.809157,7.398699,7.816653,7.651926,7.369521,7.385812,7.405202
"1451628_a_at",6.786006,6.568952,6.74475,6.552326,6.912482,7.482528,6.599618,6.74475,6.867113
"1451629_at",3.78213,3.845826,3.629606,3.872103,4.182599,3.845826,3.978451,3.998343,3.496365
"1451630_at",4.647524,4.763254,4.680911,4.581514,4.680911,4.746886,4.707215,4.430185,4.67763
"1451631_at",4.787753,4.669204,4.837266,4.728597,4.571228,4.846386,4.972735,5.241801,4.76719
"1451632_a_at",3.118098,3.449686,2.985988,3.000441,3.045278,3.076704,3.076704,3.307654,2.854255
"1451633_a_at",4.12844,4.250262,5.157939,4.220422,4.066063,3.939984,4.000594,4.120724,4.289718
"1451634_at",4.773902,4.560167,4.92232,4.843242,4.773902,4.613745,4.773902,5.127205,4.675521
"1451635_at",8.089531,7.552686,8.147597,8.239643,8.417579,8.740578,6.772282,8.383317,7.739178
"1451636_at",3.358191,3.358191,3.396929,3.414049,3.302521,2.948469,3.358191,3.468213,3.231342
"1451637_a_at",2.69793,2.546463,2.615047,2.636142,2.577466,2.636142,2.563554,2.603369,2.586728
