"","H9.1","H9.2","H9.3","OB.1","OB.2","OB.3","WT.1","WT.2","WT.3"
"Slc41a2",7.60916385419057,10.0555705103138,9.00732732057529,6.61280690800694,6.86925966500261,6.72063378513795,6.71815858004743,6.76109869919513,6.5851178872492
"Atp11a",6.63942815908397,7.05366769762081,6.59526783869773,5.07622287987219,6.04869231462291,5.30472508903645,5.75292528356314,6.08320500622549,5.40691876967001
"Rgs1",6.06329752409694,5.97522708304451,5.88081831907007,6.38067469123436,6.09048717143031,5.88081831907007,4.94492497594625,4.84256123451737,5.07362266460376
"Fads2",10.5443282366301,10.2426922830866,10.5399918717157,11.0165137884078,11.3038458631056,11.2525796136656,10.3665581655273,9.08008972839781,10.3504557940529
"Stap1",4.36981730061342,4.05676746120433,4.12487479266449,5.76458482679077,5.64769310081872,5.54265469809694,3.93836685996709,4.42160703384416,4.05676746120433
"Ppbp",4.91637651230768,5.1849680738037,4.95767530382888,4.1084076767777,3.92439188657136,3.64533814662757,4.43822934777385,4.68315701699616,3.93471545886825
"Sult5a1",7.90451830360227,6.72964293854346,7.57759142393448,8.30859248825611,8.52956117155699,8.37930280277573,7.65125567677771,7.21575014091722,7.41434187720833
"Retsat",10.0966298631842,9.75786495035409,9.24471400065088,7.68613667971225,8.51098061750361,7.62546025376137,9.4731623273477,8.73327665475151,9.3239945046815
"Cyp2c55",5.69313440422682,7.0463239694653,7.46368698952211,4.94916851462572,5.0009597743045,5.47087401807652,6.45239373733069,7.3370705322243,6.54597485113491
"Lhpp",8.6362998556452,7.48802672220479,7.72189331222198,9.19824260476894,9.07006237934199,9.24447984038497,8.31182349600228,8.33212214527211,8.68240987231878
"Arl4d",7.73653692280036,7.54678951464243,7.61768405638889,8.07065673534846,8.35617988653472,8.94453109176378,7.46909310645298,7.44848178065612,7.38370970604768
